"#","Reference","Qty","Short Description","Manufacturer","Manufacturer Part #","Supplier","Supplier Part #","Supplier Price ($)","Type","Package","Category","Subcategory"
"1","C1,C2,C4","3","CAP CER 22UF 25V X7S 1210","Murata","GCM32EC71E226KE36K","DigiKey","490-GCM32EC71E226KE36KCT-ND","1.25","SMD","1210 (3225 Metric)","Capacitor","Surface Mount MLCC"
"2","C3,C8,C9,C11","4","CAP CER 0.1UF 25V X7R 0402","Murata","GCM155R71E104KE02D","DigiKey","490-16431-1-ND","0.10","SMD","0402 (1005 Metric)","Capacitor","Surface Mount MLCC"
"3","C5,C6,C7","3","CAP CER 10UF 25V X7R 1210","Murata","GCM32ER71E106KA57L","DigiKey","490-4798-1-ND","0.64","SMD","1210 (3225 Metric)","Capacitor","Surface Mount Think Film Capacitor"
"4","C10","1","CAP CER 4.7UF 25V X7R 1206","Murata","GCM31CR71E475KA55L","DigiKey","490-4794-1-ND","0.31","SMD","1206 (3216 Metric)","Capacitor","Surface Mount MLCC"
"5","CIIC1","1","IC USB TO UART BRIDGE QFN24","Silicon Labs","CP2102N-A02-GQFN24R","DigiKey","336-5888-1-ND","4.14","SMD","24-QFN (4x4)","Communication Interface IC","USB-to-UART Bridge"
"6","D1","1","TVS DIODE 3.3VWM 10VC SOD883","Littelfuse Inc.","SP3222-02ETG","DigiKey","F10251CT-ND","0.38","SMD","SOD-883","Diode","Transient Voltage Suppresor (TVS)"
"7","D2","1","DIODE SCHOTTKY 30V 1A SOD323","Diodes Incorporated","BAT760-7","DigiKey","BAT760DICT-ND","0.47","SMD","SOD-323","Diode","Schottky Diode"
"8","D3","1","TVS DIODE 5VWM 10VC SMB","Littelfuse Inc.","SACB5.0","DigiKey","SACB5.0CT-ND","0.59","SMD","SMB","Diode","Transient Voltage Suppresor (TVS)"
"9","D4","1","LED GREEN CLEAR 0603 SMD","Würth Elektronik","150060GS75000","DigiKey","732-4971-1-ND","0.15","SMD","0603 (1608 Metric)","Diode","Light Emitting Diode (LED)"
"10","J1","1","CONN RCPT USB2.0 MICRO B SMD R/A","Amphenol","10118192-0001LF","DigiKey","609-4613-1-ND","0.43","SMD","USB Micro B","Connector Assembly","USB Micro-B Connector"
"11","J2","1","CONN HEADER SMD 3POS 2.54MM","Samtec Inc.","TSM-103-01-S-SV","DigiKey","SAM10787-ND","0.76","SMD","Nonstandard 3-pin","Connector Assembly","3-Pin Male Header"
"12","J3,J4","2","CONN HEADER VERT 18POS 2.54MM","Würth Elektronik","61301811121","DigiKey","732-5328-ND","1.00","Through Hole","Nonstandard 18-pin","Connector Assembly","18-Pin Male Header"
"13","L1","1","FIXED IND 1.5UH 11.6A 10.67 MOHM","TDK","SPM6530T-1R5M-HZ","DigiKey","445-180104-1-ND","1.62","SMD","Nonstadard 2-pin","Inductor","Shielded Drum Core Inductor"
"14","MCU1","1","RF TXRX MOD BT WIFI THCHAS MNT","Espressif Systems","ESP32-PICO-MINI-02-N8R2","DigiKey","1965-ESP32-PICO-MINI-02-N8R2CT-ND","6.24","SMD","Nonstandard 61-pin","Microcontroller Unit (MCU)","Wireless Microcontroller Unit"
"15","PMIC1","1","IC REG BUCK BST 3.3V 3.5A 14VSON","Texas Instruments","TPS63021DSJR","DigiKey","296-27259-1-ND","3.34","SMD","14-VSON","Power Management IC","Buck-Boost Converter"
"16","Q1","1","TRANS 2NPN 45V 100MA SC88/SC70","Onsemi","BC847BDW1T1G","DigiKey","BC847BDW1T1GOSCT-ND","0.18","SMD","SOT-363","Transistor","Bipolar Junction Transistor (NPN)"
"17","R3,R5,R6,R7","4","RES 1K OHM 1% 1/16W 0402","Vishay","CRCW04021K00FKED","DigiKey","541-1.00KLCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"18","R4,R10,R11","3","RES 10K OHM 1% 1/16W 0402","Vishay","CRCW040210K0FKED","DigiKey","541-10.0KLCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"19","R8","1","RES SMD 47.5K OHM 1% 1/16W 0402","Bourns Inc.","CR0402-FX-4752GLF","DigiKey","CR0402-FX-4752GLFCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"20","R9","1","RES 22.1K OHM 1% 1/16W 0402","Vishay","CRCW040222K1FKED","DigiKey","541-22.1KLCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"21","SW1,SW2","2","SWITCH TACTILE SPST-NO 0.05A 12V","Omron Electronics Inc-EMC Div","B3U-1000P","DigiKey","SW1020CT-ND","1.17","SMD","Custom","Switch","SPST-NO Switch"
